prev,surface_area,compactness,rectangularity,diameter,convexity,eccentricity
0,0.08699719556204488,-0.04596841545345268,0.6240572405313529,-0.23752388312371744,0.7923415795269905,-0.08983987751322296
1,0.30057998628369004,-0.04596841545345268,0.5636294176256116,-0.1754154825502063,0.7342573948671547,-0.08997053254854212
2,0.2559205172136108,-0.04596841545345268,-0.666795059251081,-0.5991410619315438,-0.7109956548021608,-0.08606100172907896
3,-0.5329927055368775,-0.04596841545345268,0.01925548916337251,-0.5997311572696284,0.31919114224109607,-0.07232494038069584
4,-0.4912273650041652,-0.04596841545345268,0.1778069650022508,-0.5997358046702062,0.4174236429922195,-0.06965049654666863
5,-0.20800186799250073,-0.04596841545345268,0.5453532851899183,-0.5504109497584019,0.8795265712751498,-0.08364863203980892
6,0.08956896047967872,-0.04596841545345268,0.7728916339078242,-0.543679336894974,1.1259655081474529,-0.08928089992820792
7,-0.22668353834478888,-0.04596841545345268,0.4715612896357623,-0.5760138407286486,0.9049695612423223,-0.08436781885262089
8,0.024452720299856293,-0.04596841545345268,-0.6945685229486228,-0.5997341984984097,-0.7444126899703833,-0.08826495641812858
9,-0.4790770447757515,-0.04596841545345268,0.35583205598117845,-0.5224757313628405,0.5530001125522696,-0.07492122169058588
10,-0.37989241698121035,-0.04596841545345268,0.7436596929456661,-0.5192997404220407,0.742442895069474,-0.07579642725139028
11,-0.4794882247157583,-0.04596841545345268,0.3892878579469568,-0.5228604638047006,0.5590208001614387,-0.07493092728343571
12,-0.48674703599263824,-0.04596841545345268,0.12270028287328588,-0.5313365582733547,0.34746458938995967,-0.08489982759191084
13,-0.4664083660777237,-0.04596841545345268,0.30193556957936357,-0.5418942682277588,0.5043690579190703,-0.08531737889304958
14,-0.4989649533265067,-0.04596841545345268,1.0326212630644103,-0.5865329465226267,0.7624878281729539,-0.07614405786658786
15,-0.4189001766022219,-0.04596841545345268,0.5082565883626307,-0.5997305812464933,0.7200185119753506,-0.08137865516643324
16,0.4446541255848067,-0.04596841545345268,-0.6636747591435178,1.9334172946711106,-0.6624299743072303,-0.08937239693297677
17,-0.04120690294606159,-0.04596841545345268,0.2996535216662573,-0.3955612073010399,0.7329634040389246,-0.08072441918754455
18,0.7966322037274419,-0.04596841545345268,-0.2560939501028466,1.6692525003400307,-0.4546340409475857,-0.08721619799806966
19,3.4448222411783798,-0.04596841545345268,-0.36192894507477213,0.7533899345563566,-0.5009971845590356,-0.0857222775625667
20,1.0454788225036338,-0.04596841545345268,-0.373076834635676,0.2748828549514318,-0.4953443050695678,-0.08386870140986533
21,0.15413949911715472,-0.04596841545345268,0.6043488130625898,0.7580203343138023,0.6932203844554857,-0.06359473826374959
22,0.3417839077559329,-0.04596841545345268,0.6725351576286999,0.7499272879576832,0.6255869716519703,-0.08960005943513695
23,0.4711561088859959,-0.04596841545345268,-0.10025504129404916,0.29200945910189197,0.05736473371055098,-0.08773693074016542
24,-0.08275892888068881,-0.04596841545345268,0.8981818548968284,-0.13787791830877358,0.8123060857472558,-0.08937145795623921
25,0.418625857686682,-0.04596841545345268,0.489735179511369,-0.20431303292981712,0.25360368342312234,-0.087643067624639
26,0.9555291752510762,-0.04596841545345268,0.6013664324965513,0.10168225731206197,0.3417483602371012,-0.08895110326209048
